"id","first_name","last_name","salary","industry"
"1","Layla","Ross","183","Publishing"
"3","Brandon","Kelly","242","Construction"
"4","Laura","Evans","213","Consumer Goods"
"7","Nathan","Stewart","151","Apparel"
"8","Ashley","Collins","207","Dairy"
"9","Lauren","Cox","206","Food Production"
"10","Mateo","Diaz","192","Computer Software"
"11","Jose","Murphy","80","Computer Games"
"12","Elizabeth","Thompson","202","Fitness"
"13","Jeremy","Perry","21","Building Materials"
"14","Melissa","Stewart","64","Security"
"15","Kayla","Alexander","222","Food Production"
"17","Alexis","Walker","1","Education"
"18","Claire","Alexander","179","Journalism"
"19","Ashley","Roberts","190","Insurance"
"20","Anna","Rivera","126","Legal Services"
"23","Aubrey","Allen","65","Furniture"
"24","Alexandra","Russell","94","Fitness"
"25","Samantha","Rogers","133","Aviation"
"26","Katherine","Brooks","214","Sporting Goods"
"27","Kyle","Russell","197","Recreational Facilities"
"28","Tyler","Cooper","145","Marketing"
"29","Aiden","Lewis","96","International Development"
"30","Elizabeth","Murphy","164","Semiconductors"
"31","Henry","Garcia","51","Security"
"32","Justin","Harris","139","Accounting"
"33","Jason","Brooks","199","Automotive"
"35","Alexander","Powell","8","Gambling"
"36","Steven","Baker","24","Web Design"
"37","Nicholas","Ramirez","144","Sporting Goods"
"38","Brian","Collins","113","Entertainment"
"39","Ava","Russell","170","Motion Pictures"
"40","Henry","Thompson","96","Apparel"
"41","Sofia","Green","193","Art"
"44","Allison","Miller","180","Glass"
"46","Austin","Reed","185","Concrete"
"47","Victoria","Lee","249","Environmental Services"
"48","Aaron","Reed","113","Services"
"49","Robert","Perry","166","Advertising"
"51","Rebecca","Edwards","4","Transportation"
"52","Nicholas","Wilson","135","Civil Engineering"
"53","Emily","Moore","39","Banking"
"54","Theodore","Stewart","119","Dairy"
"55","Isaac","Henderson","170","Food"
"56","Dylan","Lee","135","Writing"
"57","Maria","Rodriguez","78","Facilities Services"
"58","Brandon","Taylor","98","Utilities"
"60","John","Cox","191","Sales"
"61","Jose","Alexander","215","Computer Hardware"
"62","Courtney","Parker","225","Film"
"64","Jessica","Mitchell","34","Publishing"
"65","Lauren","Hernandez","87","Luxury Goods"
"66","Nicole","Perez","218","Food"
"67","Victoria","Harris","222","Printing"
"68","Alexis","Howard","39","Apparel"
"69","Rachel","Harris","6","Network Security"
"70","Nicholas","Butler","254","Transportation"
"71","Kevin","Ward","190","Film"
"72","Stephanie","Sanchez","211","Architecture"
"73","Elizabeth","Roberts","19","Farming"
"74","Joshua","Price","39","Sales"
"76","Emma","Roberts","69","Architecture"
"78","Grace","Rodriguez","66","Veterinary"
"79","Ryan","Wright","178","Hospitality"
"80","Anna","Hughes","38","Information Technology"
"82","Jasmine","Watson","6","Recreational Facilities"
"84","Justin","Hernandez","29","Marketing"
"85","Jessica","Butler","69","Aviation"
"86","Kelsey","Price","222","Health Care"
"87","Joshua","James","186","Motion Pictures"
"88","Jack","Gonzales","241","Fitness"
"89","Haley","Rodriguez","254","Construction"
"90","Maria","Stewart","227","Industrial Automation"
"91","Victoria","Carter","112","Recruiting"
"93","Victoria","Hernandez","236","Biotechnology"
"94","Charles","Wright","65","Leisure"
"95","Alexander","Collins","8","Computer Engineering"
"96","John","Clark","153","Marketing"
"98","Brianna","Morgan","241","Events Services"
"100","Kayla","Flores","205","Health Care"
"101","Mateo","Davis","175","Food Production"
"102","Audrey","Rivera","31","Recreational Facilities"
"103","Sebastian","Bailey","47","Business Supplies"
"104","Andrew","Reed","166","Hospitality"
"105","Gabriel","Morgan","33","Education"
"106","Ethan","Alexander","93","Building Materials"
"107","Theodore","King","147","Film"
"109","Nicholas","Foster","67","Metals"
"111","Benjamin","Lee","247","International Trade"
"112","Ethan","Gray","139","Facilities Services"
"113","Evelyn","Harris","178","Consumer Services"
"115","Elizabeth","Rogers","44","Electrical Manufacturing"
"116","Alexander","Allen","139","Biotechnology"
"117","Lillian","Young","173","Retail"
"119","Matthew","Hayes","148","Medical Equipment"
"120","Elizabeth","Hughes","27","Construction"
"121","Laura","Morgan","34","Retail"
"122","Alyssa","Hernandez","156","Legal Services"
"123","Natalie","Phillips","125","Aerospace"
"124","Maria","Morgan","113","Metals"
"126","Anthony","Morris","204","Shipbuilding"
"127","Stephen","Bailey","172","Public Relations"
"128","Mateo","Hall","78","Film"
"129","Robert","Bryant","2","Photography"
"130","Nicole","Roberts","221","Events Services"
"131","Taylor","Cox","195","Consumer Services"
"134","Brittany","Scott","105","Internet"
"137","Natalie","Reed","21","Civil Engineering"
"138","Patrick","Martinez","242","Environmental Services"
"140","Chelsea","Lewis","55","Construction"
"141","Brittany","Morgan","139","Freight Delivery"
"143","James","Baker","65","Travel"
"144","Steven","Thompson","79","Film"
"145","Ryan","Morgan","129","Sales"
"147","Christina","Thomas","167","Medical Equipment"
"149","Laura","Alexander","164","Environmental Services"
"151","Joseph","Washington","59","Pharmaceuticals"
"152","Jennifer","Jenkins","80","Human Resources"
"153","Ava","Robinson","181","Business Equipment"
"154","Audrey","Watson","142","Aerospace"
"155","Jeremy","Foster","124","Staffing"
"156","Sarah","Bryant","140","Business Equipment"
"157","Nicholas","Carter","108","Events Services"
"158","Eleanor","Parker","224","Health Care"
"159","Steven","Russell","0","Ceramics"
"160","Megan","Hernandez","184","Procurement"
"161","Evelyn","Garcia","213","Consumer Electronics"
"162","Kayla","Ross","130","Journalism"
"163","Justin","Young","179","Public Relations"
"164","Jason","Wilson","42","Mortgages"
"166","Chelsea","Thompson","32","Internet"
"167","Sebastian","Rodriguez","52","Food Production"
"168","Amelia","Jackson","33","Energy"
"169","Anna","Wood","253","Recruiting"
"171","Haley","Hughes","96","Film"
"172","Kayla","Coleman","75","Professional Training"
"173","Sophia","King","84","Construction"
"174","Isabella","Barnes","20","Publishing"
"175","Sebastian","Thompson","154","Containers"
"176","Eric","Foster","187","Consumer Electronics"
"179","Sean","Baker","223","Telecommunications"
"180","Kelsey","Bell","256","Computer Security"
"181","Stephanie","Jenkins","234","Translation"
"182","Audrey","Jackson","110","Metals"
"183","Timothy","Butler","116","Energy"
"184","Aubrey","Harris","63","Construction"
"185","Kelsey","Cooper","199","Journalism"
"186","Amber","Richardson","134","International Development"
"187","Emily","Flores","187","Publishing"
"190","Sean","Ward","253","Paper Products"
"191","Amber","Smith","4","Facilities Services"
"192","Charles","Parker","36","Luxury Goods"
"193","Timothy","Torres","156","Banking"
"195","Aubrey","Powell","171","Consumer Electronics"
"198","Kayla","Evans","40","Consumer Services"
"199","Aubrey","Peterson","95","Farming"
"200","Samantha","Hall","19","Dairy"
"201","Alyssa","Moore","186","Beverages"
"202","Kaitlyn","Stewart","78","Legal Services"
"204","Mary","Cooper","104","Business Supplies"
"205","Kyle","Henderson","155","Health Care"
"206","Alexander","Bryant","12","Industrial Automation"
"207","Michelle","Parker","60","Consumer Services"
"208","Kaitlyn","Ramirez","50","Paper Products"
"209","Adam","Harris","203","Graphic Design"
"210","Aiden","Washington","59","Computer Games"
"211","Samantha","Foster","22","Textiles"
"212","James","Jenkins","128","Internet"
"215","Isabella","Wood","76","Printing"
"216","Audrey","Adams","30","Medical Equipment"
"217","Mateo","Hernandez","76","Printing"
"219","Austin","Kelly","31","Beverages"
"220","Courtney","Rivera","167","Private Equity"
"221","Julian","Sanders","205","Beverages"
"222","Jeremy","Kelly","39","Electronic Manufacturing"
"223","Adam","Flores","27","Paper Products"
"224","Eleanor","Collins","224","Writing"
"225","Jeremy","Ramirez","93","Industrial Engineering"
"226","Stephen","Bryant","126","Packaging"
"228","Maria","Murphy","253","Security"
"229","Evelyn","Bell","181","Computer Networking"
"230","Emily","Watson","247","Semiconductors"
"231","Claire","Hayes","195","Film"
"232","Nicole","Gonzales","64","Computer Engineering"
"234","John","Baker","42","Veterinary"
"236","Andrew","Murphy","60","Glass"
"237","Maria","Wilson","221","Paper Products"
"238","Layla","Bailey","218","Gambling"
"239","Mary","Cook","48","Services"
"240","Julian","Rogers","91","Industrial Engineering"
